"Platform","Domain","CapabilitySummary","IntegrationStatus","UtilityScore","ApplicabilityScore","IntegrationScore","ReliabilityScore","WorkflowValue","SourceRefs","Notes"
"Claude Code","Agent orchestration and autonomy","Multi-step planning and autonomous execution support. Integration profile for Claude Code: native.","native","5","5","5","5","100","https://docs.anthropic.com/en/docs/claude-code/overview;https://docs.anthropic.com/en/docs/claude-code/mcp","Derived from official documentation capture on 2026-03-05."
"Claude Code","Context and memory systems","Persistent project context, rules, or memory capture. Integration profile for Claude Code: composed.","composed","4","4","4","5","84","https://docs.anthropic.com/en/docs/claude-code/overview;https://docs.anthropic.com/en/docs/claude-code/mcp","Derived from official documentation capture on 2026-03-05."
"Claude Code","Search and retrieval","Repository and knowledge retrieval across code and docs. Integration profile for Claude Code: composed.","composed","4","4","4","5","84","https://docs.anthropic.com/en/docs/claude-code/overview;https://docs.anthropic.com/en/docs/claude-code/mcp","Derived from official documentation capture on 2026-03-05."
"Claude Code","Code analysis and refactoring","Static analysis help and structural code change workflows. Integration profile for Claude Code: native.","native","5","5","5","5","100","https://docs.anthropic.com/en/docs/claude-code/overview;https://docs.anthropic.com/en/docs/claude-code/mcp","Derived from official documentation capture on 2026-03-05."
"Claude Code","Test generation and execution","Test authoring help and validation loops. Integration profile for Claude Code: native.","native","5","5","5","5","100","https://docs.anthropic.com/en/docs/claude-code/overview;https://docs.anthropic.com/en/docs/claude-code/mcp","Derived from official documentation capture on 2026-03-05."
"Claude Code","Shell and filesystem control","Command execution and file operations. Integration profile for Claude Code: native.","native","5","5","5","5","100","https://docs.anthropic.com/en/docs/claude-code/overview;https://docs.anthropic.com/en/docs/claude-code/mcp","Derived from official documentation capture on 2026-03-05."
"Claude Code","Browser and UI control","UI/browser automation or preview capability. Integration profile for Claude Code: partial.","partial","2","1","2","4","43","https://docs.anthropic.com/en/docs/claude-code/overview;https://docs.anthropic.com/en/docs/claude-code/mcp","Derived from official documentation capture on 2026-03-05."
"Claude Code","API and external integrations (including MCP/tool ecosystems)","Extensibility via APIs, MCP, plugins, or tool adapters. Integration profile for Claude Code: native.","native","5","5","5","5","100","https://docs.anthropic.com/en/docs/claude-code/overview;https://docs.anthropic.com/en/docs/claude-code/mcp","Derived from official documentation capture on 2026-03-05."
"Claude Code","Debugging and observability","Root-cause analysis, diagnostics, traces, and triage. Integration profile for Claude Code: native.","native","5","5","5","5","100","https://docs.anthropic.com/en/docs/claude-code/overview;https://docs.anthropic.com/en/docs/claude-code/mcp","Derived from official documentation capture on 2026-03-05."
"Claude Code","Docs and knowledge generation","Documentation drafting and knowledge packaging. Integration profile for Claude Code: native.","native","4","4","5","5","90","https://docs.anthropic.com/en/docs/claude-code/overview;https://docs.anthropic.com/en/docs/claude-code/mcp","Derived from official documentation capture on 2026-03-05."
"Claude Code","Workflow automation and CI/CD hooks","Automation of recurring engineering and CI flows. Integration profile for Claude Code: composed.","composed","4","4","4","5","84","https://docs.anthropic.com/en/docs/claude-code/overview;https://docs.anthropic.com/en/docs/claude-code/mcp","Derived from official documentation capture on 2026-03-05."
"Claude Code","Safety, approval, and permission models","Permission controls, approval gates, and safety boundaries. Integration profile for Claude Code: native.","native","5","5","5","5","100","https://docs.anthropic.com/en/docs/claude-code/overview;https://docs.anthropic.com/en/docs/claude-code/mcp","Derived from official documentation capture on 2026-03-05."
"OpenCode","Agent orchestration and autonomy","Multi-step planning and autonomous execution support. Integration profile for OpenCode: native.","native","5","5","5","3","92","https://opencode.ai/docs/;https://opencode.ai/docs/tools/;https://opencode.ai/docs/config/","Derived from official documentation capture on 2026-03-05."
"OpenCode","Context and memory systems","Persistent project context, rules, or memory capture. Integration profile for OpenCode: composed.","composed","4","4","4","3","76","https://opencode.ai/docs/;https://opencode.ai/docs/tools/;https://opencode.ai/docs/config/","Derived from official documentation capture on 2026-03-05."
"OpenCode","Search and retrieval","Repository and knowledge retrieval across code and docs. Integration profile for OpenCode: composed.","composed","4","4","4","3","76","https://opencode.ai/docs/;https://opencode.ai/docs/tools/;https://opencode.ai/docs/config/","Derived from official documentation capture on 2026-03-05."
