title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Anomaly Detection for Identifying Cheating Behaviours and Techniques in Online Gaming Using AI,S Karkera,2025.0,0,"… It proposes visual anti-cheat detection using recorded gameplay of a popular online first-person shooter. Unfortunately, time and resource constraints prevented real-time cheat …",o2P9IHW71vEJ,S Karkera - 2025 - norma.ncirl.ie,[],https://norma.ncirl.ie/7442/,unknown,unknown
Cryptographic Directions in Cheating Detection and Prevention for Strategy Based Games,"J Lee, K Jiang, S Srinivasan, L Wang",,0,"… -based anti-cheat drivers, which enters the user kernel to detect … aforementioned games create anti-cheat software in order to … , some anti-cheat programs such as Blizzard’s Warden and …",nKU8lIMRkPcJ,"J Lee, K Jiang, S Srinivasan, L Wang - academia.edu",[],https://www.academia.edu/download/79497903/Lee-Jiang-Srinivasan-Wang.pdf,unknown,unknown
Comparative study of anti-cheat methods in video games,S Lehtonen,2020.0,37,… developed to avoid detection by the game’s anti-cheat technology. … The anti-cheat system used in World of Warcraft is called Warden and it is also used in other Blizzard games. Warden …,RhQp3yBAbxsJ,"S Lehtonen - University of Helsinki, Faculty of Science, 2020 - helda.helsinki.fi",[],https://helda.helsinki.fi/server/api/core/bitstreams/89d7c14b-58e0-441f-a0de-862254f95551/content,unknown,unknown
We Just Want to Play the Game: Anti-Cheat Software Risks in Videogames,K Du,2025.0,0,"… Anti-cheat has a long history in the video game industry. One example from the early 2000's is Blizzard's ""The Warden… of Anti-Cheat at Riot Games, ""We're always trying to detect people …",QV3lyswM8GoJ,"K Du - Loy. Consumer L. Rev., 2025 - HeinOnline",[],https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/lyclr37&section=14,unknown,unknown
Detection of cheating in Multiplayer Online Games with knowledge representation and inference,J Veldthuis,2016.0,2,"… exist that to detect cheats in online games, such as VAC, PunkBuster and Warden. Cheating deterrence … Cheating and cheat detection remains an arms race: when a cheat is able to be …",yW6wBfaC6rQJ,J Veldthuis - 2016 - fse.studenttheses.ub.rug.nl,[],https://fse.studenttheses.ub.rug.nl/id/eprint/14562,unknown,unknown
Analysis and detection of online game cheating software,T Čurda,2014.0,2,"… , anti-cheat detections are constantly bypassed and new detection methods must be developed in order to detect … If he wants the anti-cheat to detect specific cheat he must send it to …",40hY2FSfPQ8J,T Čurda - 2014 - is.muni.cz,[],https://is.muni.cz/th/qe1y3/bk_Archive.pdf,unknown,unknown
Cheating in Multiplayer Video Games,RS Hardy,2009.0,5,… Warden are sent to the client and executed; this makes Warden completely dynamic for what it can detect… a person cheating in ways that an anti-cheat detection system could not. For …,HynMzJ34hIAJ,RS Hardy - 2009 - vtechworks.lib.vt.edu,[],https://vtechworks.lib.vt.edu/items/1a840895-093a-4892-baae-2bd7e5380de5,unknown,unknown
Client-side Anti-cheat in Online Games: Legal Implications from a Privacy and Data Protection Perspective,R Greidanus,2017.0,2,"… With signature based detection, anti-cheat software seeks … Warden specifically is beyond the scope of this thesis. I will say, however, that Hoglund‟s reverse engineering of the Warden …",eVvyZdgMHnQJ,R Greidanus - 2017 - arno.uvt.nl,[],http://arno.uvt.nl/show.cgi?fid=142935;client-side,unknown,unknown
Cheating and virtual crimes in massively multiplayer online games,R Joshi,2008.0,16,"… To detect a kernel resident bot, anti cheating tools would need to scan the kernel to detect the bot. This would require the anti cheat tool to possess special access privileges. Another …",ECHU8Qf916cJ,"R Joshi - Royal University of London, 2008 - repository.royalholloway.ac.uk",[],https://repository.royalholloway.ac.uk/file/a48ee857-9e6c-12b9-4542-7331d229aa38/1/RHUL-MA-2008-06.pdf,unknown,unknown
Practical Attacks on Virtual Worlds,K Markantonakis,2015.0,0,… software: we saw in our testing that Blizzard’s Warden anti-cheating software prevented all the … An interesting attack study would be to try to compromise the anti-cheat agent by compro…,_Ci-BDwMsvQJ,"K Markantonakis - Risks and Security of Internet and Systems: 9th …, 2015 - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=tHK6CAAAQBAJ&oi=fnd&pg=PA180&dq=Warden+anti-cheat+World+of+Warcraft+detection&ots=uCddrrpV25&sig=9-eHt4QEuU4bv0gfSUF7bvh0o-c,unknown,unknown
